"","cells","mean_DEM","mean_MGVF","mean_prec","mean_temp","max_DEM","min_DEM","relief","mean_plat","counting_colls$Coll_count","mean_Cpre","mean_Ctemp"
"65",9053,1707.7802327474,95,39.2222226460775,5.39722220102946,1815.35070800781,1653.99499511719,161.355712890625,56,2,1.55442824810355e-05,8.71517333984377
"66",9066,1028.76843261719,70,28.8333339691162,7.36666679382324,1028.76843261719,1028.76843261719,0,54.23,1,1.60155050252797e-05,7.60616455078127
"67",9232,1018.87432861328,76,31.0833339691162,7.14166688919067,1018.87432861328,1018.87432861328,0,53.93,1,1.62598153110594e-05,8.6297546386719
"68",9557,1395.19186401367,26.125,20.3611106872559,7.34444439411163,1407.66369628906,1355.45092773438,52.2127685546875,53.8370833333333,10,1.65308429131983e-05,10.1045471191406
"69",9720,2423.39990234375,54,27.75,2.40833330154419,2423.39990234375,2423.39990234375,0,54.05,1,1.78040281753056e-05,11.0854736328125
"70",9722,1524.6865234375,19,21.5833339691162,7.10833311080933,1524.6865234375,1524.6865234375,0,53.77,1,1.71590727404691e-05,10.1437927246094
"71",9723,1261.97595214844,94,17.25,7.55000019073486,1261.97595214844,1261.97595214844,0,53.8,1,1.65308429131983e-05,10.1045471191406
"72",9890,1859.2646484375,39,23.5,6.33333349227905,1859.2646484375,1859.2646484375,0,52.82,1,1.73486769199371e-05,10.9167724609375
"73",9897,1039.61889648438,81,33.75,8.5,1039.61889648438,1039.61889648438,0,52.29,1,1.60860636242433e-05,10.0149475097656
"74",10056,1923.42724609375,47,20.6666660308838,6.31666660308838,1923.42724609375,1923.42724609375,0,52.54,1,1.73486769199371e-05,10.9167724609375
"75",10188,NA,0,169.75,11.716667175293,-Inf,Inf,-Inf,53.53,1,3.83687984140124e-05,4.40371093750002
"76",10384,1987.44494628906,20.4285714285714,16.5595237186977,5.54285717010498,2081.75659179688,1937.39221191406,144.364379882812,51.7971428571429,7,2.10516781018149e-05,12.6882524762835
"77",10385,2094.40643310547,30,16.9583330154419,4.96458327770233,2172.65307617188,2049.87841796875,122.774658203125,51.625,4,1.99528876692057e-05,12.3205200195313
"78",10718,1874.41149902344,31,23.75,6.63333320617676,1874.41149902344,1874.41149902344,0,NA,1,NA,NA
"79",10882,1522.58776855469,29,18.6666660308838,8.48333358764648,1522.58776855469,1522.58776855469,0,NA,1,NA,NA
"80",10883,1706.81640625,41,22.9166660308838,8.50833320617676,1706.81640625,1706.81640625,0,50.84,2,2.38024531427072e-05,14.0226379394531
"81",10885,2105.48876953125,81,35.5833320617676,5.79166698455811,2105.48876953125,2105.48876953125,0,52.04,1,2.2533622541232e-05,12.9494567871094
"82",11045,2089.47376360212,61.0714285714286,27.0297622680664,7.07321439470564,2382.17138671875,1944.22595214844,437.945434570312,50.2885714285714,6,2.79909144020556e-05,14.7818215506418
"83",11050,1962.20922851562,56,31.1666660308838,6.65000009536743,1962.20922851562,1962.20922851562,0,NA,1,NA,NA
"84",11051,2224.62841796875,97,35.25,5.33333301544189,2224.62841796875,2224.62841796875,0,NA,2,NA,NA
"85",11116,2.10407710075378,87,96.5,12.2416667938232,2.10407710075378,2.10407710075378,0,NA,1,NA,NA
"86",11117,17.4888610839844,74,98,12.1750001907349,17.4888610839844,17.4888610839844,0,40.32,1,7.52663909224793e-05,19.5404907226563
"87",11210,2333.74471028646,73.3333333333333,28.0833333333333,5.85833326975505,2416.63598632812,2167.96215820312,248.673828125,NA,2,NA,NA
"88",11213,1791.55676269531,33,22.8333339691162,10.125,1791.55676269531,1791.55676269531,0,49.35,1,2.64423943008296e-05,15.2662292480469
"89",11383,2077.12817382812,84,28.8333339691162,7.83333349227905,2077.12817382812,2077.12817382812,0,NA,1,NA,NA
"90",11542,1755.04577636719,11,16.1666660308838,11.3666667938232,1755.04577636719,1755.04577636719,0,49.04,2,3.13901909976266e-05,15.9690490722656
"91",11543,1859.22380873736,15.4411764705882,17.2279409240274,10.7887256005231,1954.83959960938,1729.92761230469,224.911987304688,49.0117647058823,15,3.12866880395792e-05,16.135649916705
"92",11705,2715.18061065674,90.359375,42.0325508117676,3.93554692715406,2758.12719726562,2691.08862304688,67.03857421875,49.05,2,3.64148327207658e-05,16.4995056152344
"93",11706,2222.06076049805,44.0833333333333,27.2083333333333,6.64097225666046,2477.67236328125,1959.60827636719,518.064086914062,48.8822222222222,7,3.41631352461668e-05,17.168339029948
"94",11707,2006.75094604492,35.4078947368421,22.5559209020514,8.49342091459977,2616.63696289062,1818.18371582031,798.453247070312,48.8293421052632,47,3.29841568600386e-05,17.1082397460938
"95",11708,1770.49254608154,13.1145833333333,18.3107639153798,10.7126735349496,1875.60437011719,1591.15014648438,284.454223632812,48.8165625,20,3.28312728849293e-05,17.0841782251994
"96",11710,1601.65618896484,17,17.9999995231628,12.1291670799255,1971.79711914062,1231.51525878906,740.281860351562,48.615,2,2.87907696474576e-05,16.4482666015625
"97",11871,1754.79382324219,22,32.75,10.8249998092651,1754.79382324219,1754.79382324219,0,48.68,2,3.56368582288269e-05,17.2434631347656
"98",11872,2097.88931129092,50.8571428571429,32.7817460922968,8.05595193590437,2252.56030273438,2081.60815429688,170.9521484375,48.6704761904762,11,3.56368582288269e-05,17.2434631347656
"99",11873,1822.54045297908,31.3103448275862,21.0076626963999,10.3907089452634,2056.990234375,1498.44909667969,558.541137695312,48.5927941176471,36,3.29841568600386e-05,17.1082397460938
"100",11874,1501.95058275306,20.0869565217391,15.159420552461,12.8387682126916,2036.53259277344,1188.54577636719,847.98681640625,48.4460869565217,6,3.10697836064956e-05,16.806947658373
