field_1,siteID,collection,lng,lat,objectid,id,dir,length,linkid,country,juriscode,jurisname,roadnum,roadname,admin,surface,lanes,speedlim,class,nhs,border,shape_Leng,n,distance,feature_x,feature_y,nearest_x,nearest_y
"74","14546","189803",-103.200000000000003,29.132999999999999,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",16305.610956121425261,-674434.637458086246625,-1242986.860198445385322,-663711.219638040172867,-1230703.486927673919126
"75","14546","189804",-103.033000000000001,29.207999999999998,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",145.810126502230162,-658180.972764368052594,-1235556.048667157534510,-658295.738543554209173,-1235645.989808568963781
"76","14545","200394",-103.614000000000004,29.239999999999998,"32723","468512","0",28.030000000000001,02_3762536,"2",02_48,Texas,C170,,Municipal,Paved,"2","88","5",0.000000000000000,"0",32150.068507807794958,"1",8224.507850678388422,-712145.734221100690775,-1227685.456621247110888,-712017.248958139563911,-1219461.952445832081139
"77","14546","200448",-103.087999999999994,29.411999999999999,"32533","450964","0",44.280000000000001,02_3794254,"2",02_48,Texas,U385,,State,Paved,"2","88","5",0.000000000000000,"0",51042.389709317481902,"1",4836.620520295277856,-661564.504763804259710,-1211756.594065573299304,-666400.289667225326411,-1211666.691756447078660
"78","7718","47194",-114.242000000000004,49.578000000000003,"63528","29374","0",6.590000000000000,01_29374,"1",01_48,Alberta,"3",Highway 3,Provincial,Paved,"3","80","2",1.000000000000000,"0",10157.389676300781503,"1",388.788621228225452,-1241044.077841853722930,1250300.760824101744220,-1241195.369551627896726,1250658.905223122797906
"79","10385","45863",-108.763999999999996,41.686999999999998,"148270","635021","0",14.070000000000000,02_11014276,"2",02_56,Wyoming,I80,,State,Paved,"4","104","1",1.000000000000000,"0",18818.842741010816098,"1",1330.496017309247918,-996132.210158423171379,266317.598462651192676,-996455.979216058622114,265027.097300546476617
"80","10384","45868",-109.204999999999998,41.686999999999998,"160405","576364","0",12.380000000000001,02_9078362,"2",02_56,Wyoming,U191,,State,Paved,"2","56","3",7.000000000000000,"0",16599.379389608235215,"1",2233.986055864753325,-1030329.743528236867860,271031.118104665540159,-1032537.517861512489617,270689.905280864157248
"81","10384","45860",-109.138999999999996,41.866999999999997,"148482","563373","0",43.909999999999997,02_9075188,"2",02_56,Wyoming,U191,,State,Paved,"2","104","3",7.000000000000000,"0",59121.587578235426918,"1",15938.384831309664150,-1022275.362045065849088,291375.973002101818565,-1038188.368691867101006,292275.045018005534075
"82","10385","61848",-108.742999999999995,41.624000000000002,"148270","635021","0",14.070000000000000,02_11014276,"2",02_56,Wyoming,I80,,State,Paved,"4","104","1",1.000000000000000,"0",18818.842741010816098,"1",4421.254134733208957,-995500.564510886440985,258722.277595579857007,-992312.597557827830315,261785.667030519776745
"83","10384","45862",-109.204999999999998,41.716999999999999,"160405","576364","0",12.380000000000001,02_9078362,"2",02_56,Wyoming,U191,,State,Paved,"2","56","3",7.000000000000000,"0",16599.379389608235215,"1",3963.597678140441985,-1029837.690946654882282,274540.688369783048984,-1033461.515453063882887,272935.072444067976903
"84","10384","45869",-109.090000000000003,41.628000000000000,"148266","563408","0",16.719999999999999,02_11013097,"2",02_56,Wyoming,I80,,State,Paved,"4","120","1",1.000000000000000,"0",22357.514029052050319,"1",135.230755347233639,-1022373.442167500383221,262883.500381717400160,-1022324.472947833011858,262757.447326550376602
"85","10384","45861",-109.224999999999994,41.643000000000001,"160405","576364","0",12.380000000000001,02_9078362,"2",02_56,Wyoming,U191,,State,Paved,"2","56","3",7.000000000000000,"0",16599.379389608235215,"1",276.722289863809067,-1032602.875876088510267,266101.552472010254860,-1032871.849159964243881,266166.580145108513534
