FID,POINTID,record_type,flags,lng,lat,lng_rot,lat_rot
274,275,Hadrosauridae,Middle Campanian,-112.27610800,47.99000200,-80.25993562,53.14337825
275,276,Hadrosauridae,Middle Campanian,-112.65065800,48.93796500,-80.22008251,54.10773480
276,277,Hadrosauridae,Middle Campanian,-112.58283200,47.63467800,-80.66022971,52.83024995
277,278,Hadrosauridae,Middle Campanian,-112.65331300,48.34660000,-80.45989191,53.53356003
278,279,Hadrosauridae,Middle Campanian,-112.64240300,48.93550100,-80.21210026,54.10405039
279,280,Hadrosauridae,Middle Campanian,-112.06620800,48.46247900,-79.84972890,53.57098996
280,281,Hadrosauridae,Middle Campanian,-112.50336500,47.82307100,-80.50156429,53.00111746
281,282,Hadrosauridae,Middle Campanian,-112.43002300,48.48468000,-80.16249495,53.63285654
282,283,Hadrosauridae,Middle Campanian,-113.75000000,48.63330100,-81.54136180,53.98267765
283,284,Hadrosauridae,Middle Campanian,-113.75000000,48.63330100,-81.54136180,53.98267765
284,285,Hadrosauridae,Middle Campanian,-112.96666700,48.65000200,-80.68018473,53.87730936
285,286,Hadrosauridae,Middle Campanian,-112.28756700,47.76810100,-80.35655668,52.92908026
286,287,Hadrosauridae,Middle Campanian,-111.53196000,37.45160700,-82.73732418,42.69300107
287,288,Hadrosauridae,Middle Campanian,-111.70999900,37.56000100,-82.89903949,42.82566423
288,289,Hadrosauridae,Middle Campanian,-111.70999900,37.56000100,-82.89903949,42.82566423
289,290,Hadrosauridae,Middle Campanian,-111.90000200,37.59999800,-83.09082256,42.89282164
290,291,Hadrosauridae,Middle Campanian,-111.90000200,37.59999800,-83.09082256,42.89282164
291,292,Hadrosauridae,Middle Campanian,-119.36666900,55.04999900,-84.99946954,61.05627872
292,293,Hadrosauridae,Middle Campanian,-74.17861200,40.44638800,-44.17886815,39.46983017
293,294,Hadrosauridae,Middle Campanian,-75.03805500,39.95166800,-45.14729849,39.13208681
294,295,Hadrosauridae,Middle Campanian,-110.93354000,37.97065700,-81.97024066,43.11468627
295,296,Hadrosauridae,Middle Campanian,-110.97040600,38.00691200,-82.00001751,43.15575286
