FID,POINTID,record_type,flags,lng,lat,lng_rot,lat_rot
233,234,Ceratopsidae,Late Maastrichtian,-103.76689900,46.02640200,-76.80055992,51.26010081
234,235,Ceratopsidae,Late Maastrichtian,-103.80970000,46.14939900,-76.79781563,51.38661763
235,236,Ceratopsidae,Late Maastrichtian,-103.83699800,46.18030200,-76.81488479,51.42124502
236,237,Ceratopsidae,Late Maastrichtian,-103.79540300,46.13690200,-76.78740690,51.37205424
237,238,Ceratopsidae,Late Maastrichtian,-103.79540300,46.13690200,-76.78740690,51.37205424
238,239,Ceratopsidae,Late Maastrichtian,-103.79540300,46.13690200,-76.78740690,51.37205424
239,240,Ceratopsidae,Late Maastrichtian,-103.93969700,46.40639900,-76.83500663,51.65788554
240,241,Ceratopsidae,Late Maastrichtian,-103.93969700,46.42089800,-76.82918194,51.67192721
241,242,Ceratopsidae,Late Maastrichtian,-103.96440100,46.38190100,-76.87143358,51.63840278
242,243,Ceratopsidae,Late Maastrichtian,-103.77459700,46.20920200,-76.73626456,51.43851531
243,244,Ceratopsidae,Late Maastrichtian,-103.77459700,46.20920200,-76.73626456,51.43851531
244,245,Ceratopsidae,Late Maastrichtian,-103.77459700,46.20920200,-76.73626456,51.43851531
245,246,Ceratopsidae,Late Maastrichtian,-103.77459700,46.20920200,-76.73626456,51.43851531
246,247,Ceratopsidae,Late Maastrichtian,-103.77459700,46.20920200,-76.73626456,51.43851531
247,248,Ceratopsidae,Late Maastrichtian,-103.96440100,46.38190100,-76.87143358,51.63840278
248,249,Ceratopsidae,Late Maastrichtian,-104.02330000,46.44979900,-76.90757974,51.71427498
249,250,Ceratopsidae,Late Maastrichtian,-103.02330000,46.44979900,-75.83297071,51.54188777
250,251,Ceratopsidae,Late Maastrichtian,-104.00240300,46.44979900,-76.88507596,51.71068674
251,252,Ceratopsidae,Late Maastrichtian,-104.02330000,46.46429800,-76.90174634,51.72831642
252,253,Ceratopsidae,Late Maastrichtian,-104.02330000,46.46429800,-76.90174634,51.72831642
253,254,Ceratopsidae,Late Maastrichtian,-103.89790300,46.33400000,-76.81905688,51.58058639
254,255,Ceratopsidae,Late Maastrichtian,-103.89790300,46.33400000,-76.81905688,51.58058639
255,256,Ceratopsidae,Late Maastrichtian,-103.89790300,46.33400000,-76.81905688,51.58058639
256,257,Ceratopsidae,Late Maastrichtian,-104.00240300,46.46429800,-76.87924204,51.72472802
257,258,Ceratopsidae,Late Maastrichtian,-104.00240300,46.46429800,-76.87924204,51.72472802
258,259,Ceratopsidae,Late Maastrichtian,-104.00240300,46.46429800,-76.87924204,51.72472802
259,260,Ceratopsidae,Late Maastrichtian,-104.00240300,46.46429800,-76.87924204,51.72472802
260,261,Ceratopsidae,Late Maastrichtian,-104.00240300,46.46429800,-76.87924204,51.72472802
261,262,Ceratopsidae,Late Maastrichtian,-104.00240300,46.46429800,-76.87924204,51.72472802
262,263,Ceratopsidae,Late Maastrichtian,-104.00240300,46.46429800,-76.87924204,51.72472802
263,264,Ceratopsidae,Late Maastrichtian,-104.00240300,46.46429800,-76.87924204,51.72472802
264,265,Ceratopsidae,Late Maastrichtian,-103.89790300,46.36290000,-76.80747703,51.60857677
265,266,Ceratopsidae,Late Maastrichtian,-103.89790300,46.36290000,-76.80747703,51.60857677
266,267,Ceratopsidae,Late Maastrichtian,-103.89790300,46.36290000,-76.80747703,51.60857677
267,268,Ceratopsidae,Late Maastrichtian,-103.89790300,46.36290000,-76.80747703,51.60857677
268,269,Ceratopsidae,Late Maastrichtian,-103.89790300,46.36290000,-76.80747703,51.60857677
269,270,Ceratopsidae,Late Maastrichtian,-103.89790300,46.36290000,-76.80747703,51.60857677
270,271,Ceratopsidae,Late Maastrichtian,-103.94609800,45.93903000,-77.02773759,51.20620397
271,272,Ceratopsidae,Late Maastrichtian,-106.09999800,47.79999900,-78.60026346,53.37557407
272,273,Ceratopsidae,Late Maastrichtian,-106.11434900,47.77619900,-78.62595626,53.35497396
273,274,Ceratopsidae,Late Maastrichtian,-103.84240000,45.46110200,-77.10260058,50.72512448
274,275,Ceratopsidae,Late Maastrichtian,-106.96679700,47.52100000,-79.66326791,53.25166480
275,276,Ceratopsidae,Late Maastrichtian,-107.08329800,47.56670000,-79.77167156,53.31548198
276,277,Ceratopsidae,Late Maastrichtian,-106.21669800,47.59999800,-78.81157389,53.20175561
277,278,Ceratopsidae,Late Maastrichtian,-106.21669800,47.68330000,-78.77662869,53.28238993
278,279,Ceratopsidae,Late Maastrichtian,-100.63009600,46.08689900,-73.42661624,50.77308314
279,280,Ceratopsidae,Late Maastrichtian,-104.73638900,47.05361200,-77.43145785,52.42108917
280,281,Ceratopsidae,Late Maastrichtian,-105.11805700,46.25805700,-78.16578645,51.71555475
281,282,Ceratopsidae,Late Maastrichtian,-106.20361300,47.75055700,-78.73405508,53.34527137
282,283,Ceratopsidae,Late Maastrichtian,-103.45166800,45.06277800,-76.83597005,50.27176599
