collection_no,siteID,bin_assignment,lat,lng,Distance
47817,12212,teyeo,36.332,-108.067,1568.956724
47818,12212,teyep,36.344,-108.084,1423.959134
47819,12212,teyeo,36.344,-108.102,1271.108968
47820,12212,teyep,36.344,-108.102,1271.108968
47821,12212,teyep,36.344,-108.084,1423.959134
47822,11710,teyep,37.821,-110.353,4.678554607
48193,9067,teyen,45.651,-103.624,692.8407401
48235,9067,teyen,45.873,-103.787,2949.511763
48327,9554,teyen,44.094,-109.177,2402.399664
48548,11045,teyeq,39.728,-110.867,4.0120264
48549,11707,teyen,37.579,-111.831,557.0526285
48551,9067,teyen,45.928,-103.924,3778.978035
48558,10223,teyen,42.053,-106.836,3084.100358
48559,9555,teyen,44.292,-108.844,335.2379934
48562,8560,teyen,47.403,-108.268,3439.697452
48618,7558,teyep,50.4,-111.1,1858.902732
48619,7391,teyep,50.688,-111.617,2119.07813
48620,8392,teyep,47.776,-109.378,4714.142366
48622,8398,teyen,47.565,-106.313,1135.621359
48624,7391,teyeo,50.9,-111.8,670.0164829
48626,9895,teyen,43.272,-104.571,2081.324293
48627,7389,teyen,50.87,-112.994,75.78923231
48628,7896,teyen,49.36,-108.46,173.8735387
