"","cells","mean_DEM","mean_MGVF","mean_prec","mean_temp","max_DEM","min_DEM","relief","counting_colls$Coll_count","Maas_terr_outcrop","Maas_all_outcrop","Cret_outcrop"
"217",232919,932.484008789062,73,44.4166679382324,7.47499990463257,932.484008789062,932.484008789062,0,1,0.449999988079071,0.779999971389771,0.779999971389771
"218",232934,762,86,37.5833320617676,7.24166679382324,762,762,0,1,0.990000009536743,0.990000009536743,0.990000009536743
"219",234580,849.559265136719,62,45.6666679382324,7.69999980926514,849.559265136719,849.559265136719,0,1,0,0.959999978542328,0.959999978542328
"220",234604,494,0,33.25,8.79166698455811,494,494,0,1,0,0.270000010728836,0.270000010728836
"221",235361,1340.9287109375,15,20.0833339691162,7.48333311080933,1340.9287109375,1340.9287109375,0,1,0,0,0
"222",237855,1739.20861816406,36,28.5833339691162,6.31666660308838,1739.20861816406,1739.20861816406,0,1,0,0,0
"223",238670,2064.173828125,76,31.9166660308838,4.13333320617676,2064.173828125,2064.173828125,0,1,0.140000000596046,0.140000000596046,0.270000010728836
"224",238672,1708.66345214844,47,22.9166660308838,6.17500019073486,1708.66345214844,1708.66345214844,0,1,0.109999999403954,0.109999999403954,0.170000001788139
"225",239487,2891.72583007812,76,53.3333320617676,-0.616666674613953,2891.72583007812,2891.72583007812,0,1,0.46000000834465,0.46000000834465,0.46000000834465
"226",239503,1912.79821777344,49,26.6666660308838,5.29999971389771,1912.79821777344,1912.79821777344,0,1,0.0299999993294477,0.0299999993294477,0.0900000035762787
"227",240315,2498.16870117188,94,54.6666679382324,0.850000023841858,2498.16870117188,2498.16870117188,0,1,0.200000002980232,0.200000002980232,0.439999997615814
"228",240317,2679.19067382812,100,52,0.116666652262211,2679.19067382812,2679.19067382812,0,1,0.629999995231628,0.629999995231628,0.629999995231628
"229",240329,2120.92407226562,57,30.5,4.32499980926514,2120.92407226562,2120.92407226562,0,1,0,0,0
"230",241146,2249.26635742188,96,52.0833320617676,1.52500009536743,2249.26635742188,2249.26635742188,0,1,0.469999998807907,0.469999998807907,0.490000009536743
"231",241976,2077.2861328125,85,47.8333320617676,1.92500007152557,2077.2861328125,2077.2861328125,0,1,0.0700000002980232,0.0700000002980232,0.140000000596046
"232",241978,2526.46557617188,82,45.4166679382324,0.633333265781403,2526.46557617188,2526.46557617188,0,1,0.449999988079071,0.449999988079071,0.509999990463257
"233",242843,1649.04541015625,61,27.4166660308838,6.75833320617676,1649.04541015625,1649.04541015625,0,1,0,0,0
"234",242864,1305.58984375,65,29.25,7.40833330154419,1305.58984375,1305.58984375,0,1,0.980000019073486,0.980000019073486,0.980000019073486
"235",243677,1408.24633789062,41,27.0833339691162,7.80000019073486,1408.24633789062,1408.24633789062,0,1,0.370000004768372,0.370000004768372,0.370000004768372
"236",243698,1161.91040039062,56,30.4166660308838,7.86666679382324,1161.91040039062,1161.91040039062,0,2,0,0.850000023841858,0.850000023841858
"237",245313,1869.1806640625,24,21.25,6.15000009536743,1869.1806640625,1869.1806640625,0,1,0.129999995231628,0.129999995231628,0.28999999165535
"238",245350,1329.96472167969,51,26.3333339691162,7.90000009536743,1329.96472167969,1329.96472167969,0,1,0,0,0
"239",245354,1206.62365722656,62,28.5,8.10000038146973,1206.62365722656,1206.62365722656,0,3,0.959999978542328,0.959999978542328,0.959999978542328
"240",245356,1210.07338867187,58.4,29.3833332061768,8.11999969482422,1218.94909667969,1174.57055664062,44.3785400390625,3,0.939999997615814,0.939999997615814,0.939999997615814
"241",246184,1348.05798339844,51,29.0833339691162,7.91666650772095,1348.05798339844,1348.05798339844,0,1,0.920000016689301,0.920000016689301,0.920000016689301
"242",246185,1295.65797642299,55.7142857142857,29.7619043077741,8.10952377319336,1333.17443847656,1284.318359375,48.8560791015625,5,1,1,1
"243",246186,1225.82253417969,57,29.3833337783813,8.22499971389771,1233.0791015625,1191.17797851562,41.901123046875,3,0.910000026226044,0.910000026226044,0.910000026226044
"244",246187,1171.15222167969,64,30.9166673024495,8.26666673024496,1175.69384765625,1162.06896972656,13.6248779296875,2,0.889999985694885,0.889999985694885,0.889999985694885
"245",247014,1286.0151871391,53.3695652173913,29.6358696481456,8.26105082553366,1327.49853515625,1247.23229980469,80.2662353515625,14,0.870000004768372,0.870000004768372,0.870000004768372
"246",247015,1266.4348696356,54.1643835616438,30.0993155387983,8.21130138553985,1301.28076171875,1226.78295898438,74.497802734375,14,0.889999985694885,0.889999985694885,0.889999985694885
"247",247016,1247.47024536133,56.75,30.1249997615814,8.24687528610229,1261.59094238281,1218.81494140625,42.7760009765625,3,0.889999985694885,0.889999985694885,0.889999985694885
"248",247017,1161.55323621962,69.9444444444444,30.4583333333333,8.32499980926514,1174.32421875,1160.80200195312,13.522216796875,2,0.829999983310699,0.870000004768372,0.870000004768372
"249",247018,1197.78186035156,76,30,8.25,1197.78186035156,1197.78186035156,0,1,0.159999996423721,0.560000002384186,0.560000002384186
"250",247841,1355.93109130859,64.5,28.1666669845581,8.10000038146973,1370.53967285156,1341.32250976562,29.2171630859375,2,0,0,0
"251",247843,1363.44213867188,57,30.6666660308838,8.11666679382324,1363.44213867188,1363.44213867188,0,1,0.389999985694885,0.389999985694885,0.389999985694885
"252",247844,1333.21245924871,57.5187969924812,30.6159142228894,8.26629049258124,1339.90698242188,1285.2919921875,54.614990234375,9,0.939999997615814,0.939999997615814,0.939999997615814
"253",247845,1326.09386547192,57.4324324324324,30.7567569758441,8.15273091277561,1349.05029296875,1286.06140136719,62.9888916015625,19,0.970000028610229,0.970000028610229,0.970000028610229
"254",247846,1280.4337955051,69.2638888888889,30.7696764204237,8.21979145208994,1283.37316894531,1249.82165527344,33.551513671875,7,0.680000007152557,1,1
"255",247850,1223.37133789062,66,31.0833339691162,8.29166698455811,1223.37133789062,1223.37133789062,0,1,0,0.709999978542328,0.709999978542328
"256",248674,1341.86352539062,65,31.25,8.10833358764648,1341.86352539062,1341.86352539062,0,1,0.219999998807907,0.509999990463257,0.509999990463257
"257",248675,1344.6308482777,66,30.9090914292769,8.18636348030784,1360.95812988281,1341.00256347656,19.95556640625,5,0.189999997615814,0.610000014305115,0.610000014305115
"258",248676,1343.37585449219,68,31.75,8.15833282470703,1343.37585449219,1343.37585449219,0,2,0,0.5,0.5
"259",249495,1590.22021484375,55,25.5,7.50833368301392,1590.22021484375,1590.22021484375,0,1,0,0,0
"260",249506,1385.63256835938,48,31.6666660308838,8.00833320617676,1385.63256835938,1385.63256835938,0,16,0,0,0
"261",250322,1571.20532226562,39,25.3333339691162,7.88333320617676,1571.20532226562,1571.20532226562,0,1,0.689999997615814,0.689999997615814,0.709999978542328
"262",251166,1524.54931640625,96,33.75,7.19166660308838,1524.54931640625,1524.54931640625,0,1,0,0,0
"263",251988,1439.35083007812,76,25.5,7.99166679382324,1439.35083007812,1439.35083007812,0,2,0,0,0
"264",252817,1514.58166503906,91,25.75,8.21666717529297,1514.58166503906,1514.58166503906,0,2,0,0,0
"265",256121,1952.17761230469,64,25.5833339691162,5.69166660308838,1952.17761230469,1952.17761230469,0,1,0,0,0.0799999982118607
"266",256146,1330.72009277344,59,28,8.83333301544189,1330.72009277344,1330.72009277344,0,1,0,0,0
"267",256952,1962.93078613281,17,25.7499993642171,6.15833330154419,1974.45812988281,1939.87609863281,34.58203125,2,0.400000005960464,0.400000005960464,0.519999980926514
"268",257782,1966.05450811968,25.4694835680751,23.6193269452019,6.40563361969352,2000.40368652344,1945.89892578125,54.5047607421875,36,0.829999983310699,0.829999983310699,0.829999983310699
"269",257809,1280.90869140625,71,30.6666660308838,8.95833301544189,1280.90869140625,1280.90869140625,0,3,0.109999999403954,0.109999999403954,0.109999999403954
"270",258614,2140.43383789062,43,24.5833339691162,5.49166679382324,2140.43383789062,2140.43383789062,0,2,0.509999990463257,0.509999990463257,0.509999990463257
"271",259404,2210.59130859375,28,22.4166660308838,3.57499980926514,2210.59130859375,2210.59130859375,0,1,0.150000005960464,0.150000005960464,0.389999985694885
"272",259441,2011.259765625,21,22.3333339691162,6.40833330154419,2011.259765625,2011.259765625,0,5,0,0,0.860000014305115
"273",259467,1424.00268554688,68,31.6666660308838,8.96666717529297,1424.00268554688,1424.00268554688,0,1,0.730000019073486,0.730000019073486,0.730000019073486
